Group,Rep_seq,Members of group
Group0,Yes,>GCA_023783315.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron_multivesiculatum
Group0,No,>GCA_023783355.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron_multivesiculatum
Group0,No,>GCA_023783375.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron_multivesiculatum
Group0,No,>GCA_023806905.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron_multivesiculatum
Group0,No,>GCA_023806955.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron_multivesiculatum
Group0,No,>GCA_023807025.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron_multivesiculatum
Group0,No,>GCA_023807125.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron_multivesiculatum
Group0,No,>GCA_023807285.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__Polyplastron_multivesiculatum
Group1,Yes,>GCA_023783175.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__AnoplodiniumDiplodinium;s__Diplodinium_dentatum
Group1,No,>GCA_023807105.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__AnoplodiniumDiplodinium;s__Diplodinium_dentatum
Group1,No,>GCA_023807165.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__AnoplodiniumDiplodinium;s__Diplodinium_dentatum
Group1,No,>GCA_023897215.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__AnoplodiniumDiplodinium;s__Diplodinium_dentatum
Group2,Yes,>GCA_023805655.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__sp_YL2021b
Group2,No,>GCA_023805725.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__sp_YL2021b
Group2,No,>GCA_023805745.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__sp_YL2021b
Group2,No,>GCA_023805775.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__sp_YL2021b
Group3,Yes,>GCA_023783155.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus
